"player","pos","age","team","games_played","games_started","min","fg","fga","fg_perc","threes_made","threes_att","threes_perc","twos_made","twos_att","twos_perc","efg_perc","ft","fta","ft_perc","o_reb","d_reb","tot_reb","ast","stl","blk","tover","fouls","pts","year","height","weight","college","yr_start","yr_retire","rookie","miss","eff","prim_pos","pos_num","year_exp"
"Corey Maggette","SF",20,"ORL",77,5,17.8,2.9,6.1,0.478,0,0.1,0.182,2.9,5.9,0.485,0.48,2.5,3.4,0.751,1.6,2.3,3.9,0.8,0.3,0.3,1.8,2.2,8.4,1999,78,218,"Duke",2000,2013,"Not Rookie",3.2,8.7,"SF",3,-1
"Danny Ferry","PF",33,"CLE",63,3,21,3,6,0.497,0.5,1.2,0.44,2.5,4.8,0.511,0.541,0.8,0.9,0.912,0.9,2.9,3.8,1.1,0.3,0.4,0.9,2.9,7.3,1999,82,230,"Duke",1991,2003,"Not Rookie",3,9,"PF",4,8
"Elton Brand","PF",20,"CHI",81,80,37,7.8,16.1,0.482,0,0,0,7.8,16.1,0.483,0.482,4.5,6.6,0.685,4.3,5.7,10,1.9,0.8,1.6,2.8,3.2,20.1,1999,80,275,"Duke",2000,2016,"Not Rookie",8.3,23.3,"PF",4,-1
"Grant Hill","SF",27,"DET",74,74,37.5,9.4,19.2,0.489,0.5,1.3,0.347,8.9,17.9,0.5,0.501,6.5,8.2,0.795,1.3,5.3,6.6,5.2,1.4,0.6,3.2,2.6,25.8,1999,80,225,"Duke",1995,2013,"Not Rookie",9.8,26.6,"SF",3,4
"Trajan Langdon","SG",23,"CLE",10,0,14.5,1.5,4,0.375,0.8,1.9,0.421,0.7,2.1,0.333,0.475,1.1,1.1,1,0.4,1.1,1.5,1.1,0.5,0,0.6,1.6,4.9,1999,75,197,"Duke",2000,2002,"Not Rookie",2.5,4.9,"SG",2,-1
"William Avery","PG",20,"MIN",59,1,8.2,0.9,3.1,0.309,0.3,1.1,0.286,0.6,2,0.322,0.359,0.4,0.6,0.667,0.1,0.5,0.7,1.5,0.2,0,0.7,1,2.6,1999,74,197,"Duke",2000,2002,"Not Rookie",2.2,2.1,"PG",1,-1
"Cherokee Parks","C",28,"TOT",65,31,16.2,2.1,4.2,0.489,0,0.1,0,2.1,4.1,0.5,0.489,0.5,0.7,0.705,1.1,2.4,3.5,0.7,0.4,0.6,0.6,1.9,4.6,2000,83,235,"Duke",1996,2004,"Not Rookie",2.1,7.1,"C",5,4
"Christian Laettner","C-PF",31,"TOT",78,48,21.3,3.6,7.1,0.503,0.1,0.2,0.308,3.5,6.9,0.507,0.506,2.2,2.6,0.833,1.5,3.2,4.7,1.6,0.9,0.6,1.8,3.1,9.3,2000,83,235,"Duke",1993,2005,"Not Rookie",3.5,11.8,"C",5,7
"Corey Maggette","SF",21,"LAC",69,9,19.7,3.3,7.1,0.462,0.2,0.8,0.304,3,6.2,0.483,0.479,3.2,4.2,0.774,1.3,2.9,4.2,1.2,0.5,0.1,1.5,2,10,2000,78,218,"Duke",2000,2013,"Rookie",3.8,10.7,"SF",3,0
"Danny Ferry","SF",34,"SAS",80,29,21.1,2.2,4.7,0.475,0.9,2,0.449,1.4,2.7,0.493,0.568,0.3,0.4,0.733,0.7,2.1,2.8,0.9,0.4,0.3,0.6,2.1,5.6,2000,82,230,"Duke",1991,2003,"Not Rookie",2.5,6.9,"SF",3,9
"Elton Brand","PF",21,"CHI",74,74,39.3,7.8,16.4,0.476,0,0,0,7.8,16.4,0.477,0.476,4.5,6.4,0.708,3.9,6.2,10.1,3.2,1,1.6,3,3.3,20.1,2000,80,275,"Duke",2000,2016,"Rookie",8.6,24.4,"PF",4,0
"Grant Hill","SF",28,"ORL",4,4,33.3,4.8,10.8,0.442,0.3,0.3,1,4.5,10.5,0.429,0.453,4,6.5,0.615,2,4.3,6.3,6.3,1.3,0.5,2.8,2.3,13.8,2000,80,225,"Duke",1995,2013,"Not Rookie",6,19.4,"SF",3,5
"Trajan Langdon","SG",24,"CLE",65,5,17.2,2.1,4.8,0.431,0.8,1.9,0.411,1.3,2.9,0.444,0.513,1,1.2,0.895,0.2,1.2,1.4,1.2,0.6,0.1,0.8,1.8,6,2000,75,197,"Duke",2000,2002,"Rookie",2.7,5.8,"SG",2,0
"William Avery","PG",21,"MIN",55,0,8.4,1,2.6,0.382,0.3,1.1,0.271,0.7,1.5,0.459,0.438,0.5,0.7,0.778,0.1,0.4,0.5,1.4,0.2,0.1,0.8,0.9,2.8,2000,74,197,"Duke",2000,2002,"Rookie",1.6,2.6,"PG",1,0
"Cherokee Parks","C",29,"SAS",42,1,5.6,0.7,2,0.361,0,0,0,0.7,2,0.361,0.361,0.1,0.2,0.375,0.6,0.8,1.4,0.2,0.2,0.2,0.3,0.8,1.5,2001,83,235,"Duke",1996,2004,"Not Rookie",1.3,1.9,"C",5,5
"Christian Laettner","PF",32,"WAS",57,48,25.3,2.9,6.4,0.464,0,0.2,0.2,2.9,6.2,0.472,0.467,1.2,1.3,0.868,1.3,4,5.3,2.6,1.1,0.4,1.5,2.3,7.1,2001,83,235,"Duke",1993,2005,"Not Rookie",3.5,11.5,"PF",4,8
