"player","pos","age","team","games_played","games_started","min","fg","fga","fg_perc","threes_made","threes_att","threes_perc","twos_made","twos_att","twos_perc","efg_perc","ft","fta","ft_perc","o_reb","d_reb","tot_reb","ast","stl","blk","tover","fouls","pts","year","height","weight","college","yr_start","yr_retire","rookie","miss","eff","prim_pos","pos_num","year_exp"
"Elton Brand","PF",27,"LAC",80,80,38.5,8.1,15.1,0.533,0,0,1,8.1,15.1,0.532,0.533,4.4,5.8,0.761,3.4,6,9.3,2.9,1,2.2,2.5,3,20.5,2006,80,275,"Duke",2000,2016,"Not Rookie",7,26.4,"PF",4,6
"Grant Hill","SG",34,"ORL",65,64,30.9,5.3,10.2,0.518,0,0.2,0.167,5.2,10,0.525,0.52,3.8,5,0.765,0.8,2.8,3.6,2.1,0.9,0.4,2.2,2.2,14.4,2006,80,225,"Duke",1995,2013,"Not Rookie",4.9,14.3,"SG",2,11
"Shane Battier","SF",28,"HOU",82,82,36.4,3.6,8,0.446,1.9,4.5,0.421,1.6,3.4,0.48,0.567,1.1,1.4,0.779,0.8,3.3,4.1,2.1,1,0.7,0.9,2.3,10.1,2006,80,220,"Duke",2002,2014,"Not Rookie",4.4,12.7,"SF",3,4
"Shavlik Randolph","PF",23,"PHI",13,6,13.8,1.8,3.7,0.479,0,0,0,1.8,3.7,0.479,0.479,0.9,1.7,0.545,1.5,2.7,4.2,0.3,0.5,0.8,0.7,1.8,4.5,2006,82,240,"Duke",2006,2015,"Rookie",1.9,7.7,"PF",4,0
"Shelden Williams","PF",23,"ATL",81,31,18.7,2,4.5,0.455,0,0,0.5,2,4.5,0.454,0.458,1.4,1.8,0.764,1.6,3.8,5.4,0.5,0.6,0.5,1.2,2.5,5.5,2006,81,250,"Duke",2007,2012,"Not Rookie",2.5,8.8,"PF",4,-1
"Carlos Boozer","PF",26,"UTA",81,81,34.9,8.8,16,0.547,0,0,0,8.8,16,0.547,0.547,3.6,4.9,0.738,2.4,8,10.4,2.9,1.2,0.5,2.6,3.6,21.1,2007,81,258,"Duke",2003,2015,"Not Rookie",7.2,26.3,"PF",4,4
"Chris Duhon","PG",25,"CHI",66,18,22.6,2,5.2,0.387,0.8,2.3,0.348,1.2,2.9,0.418,0.465,1,1.2,0.813,0.3,1.5,1.8,4,0.7,0,1.1,1.4,5.8,2007,73,185,"Duke",2005,2013,"Not Rookie",3.2,8,"PG",1,2
"Corey Maggette","SF",28,"LAC",70,65,35.7,6.5,14.3,0.458,1.1,2.9,0.384,5.4,11.4,0.477,0.497,7.9,9.7,0.812,1.1,4.5,5.6,2.7,1,0.1,2.8,3,22.1,2007,78,218,"Duke",2000,2013,"Not Rookie",7.8,20.9,"SF",3,7
"Elton Brand","PF",28,"LAC",8,6,34.3,6.5,14.3,0.456,0,0,0,6.5,14.3,0.456,0.456,4.6,5.9,0.787,2.6,5.4,8,2,0.4,1.9,2.1,2.6,17.6,2007,80,275,"Duke",2000,2016,"Not Rookie",7.8,20,"PF",4,7
"Grant Hill","SF",35,"PHO",70,68,31.7,5.1,10.2,0.503,0.5,1.5,0.317,4.6,8.7,0.535,0.526,2.4,2.8,0.867,1.1,4,5,2.9,0.9,0.8,1.4,2.2,13.1,2007,80,225,"Duke",1995,2013,"Not Rookie",5.1,16.2,"SF",3,12
"Shane Battier","SF",29,"HOU",80,78,36.3,3.3,7.7,0.428,1.7,4.6,0.377,1.6,3.1,0.504,0.54,0.9,1.3,0.743,1.6,3.5,5.1,1.9,1,1.1,1,2.5,9.3,2007,80,220,"Duke",2002,2014,"Not Rookie",4.4,13,"SF",3,5
"Shavlik Randolph","PF",24,"PHI",9,0,3,0.4,1.6,0.286,0,0,0,0.4,1.6,0.286,0.286,0,0,0,1,0.2,1.2,0.3,0.1,0.3,0.2,0.6,0.9,2007,82,240,"Duke",2006,2015,"Not Rookie",1.2,1.4,"PF",4,1
"Shelden Williams","PF",24,"TOT",64,0,12.1,1.4,3.3,0.434,0,0,0,1.4,3.3,0.438,0.434,1.1,1.6,0.676,1.1,2.1,3.2,0.3,0.3,0.3,0.5,1.7,4,2007,81,250,"Duke",2007,2012,"Rookie",1.9,5.7,"PF",4,0
"Carlos Boozer","PF",27,"UTA",37,37,32.4,6.8,13.8,0.49,0,0,0,6.8,13.8,0.49,0.49,2.6,3.8,0.698,3,7.4,10.4,2.1,1.1,0.2,2.1,3.6,16.2,2008,81,258,"Duke",2003,2015,"Not Rookie",7,20.9,"PF",4,5
"Chris Duhon","PG",26,"NYK",79,78,36.8,3.6,8.6,0.421,1.6,4.1,0.391,2,4.5,0.449,0.515,2.3,2.6,0.856,0.6,2.5,3.1,7.2,0.9,0.1,2.8,1.6,11.1,2008,73,185,"Duke",2005,2013,"Not Rookie",5,14.6,"PG",1,3
"Corey Maggette","PF",29,"GSW",51,19,31.1,5.7,12.4,0.461,0.5,1.9,0.253,5.3,10.6,0.497,0.479,6.7,8.1,0.824,1,4.6,5.5,1.8,0.9,0.2,2.4,3.8,18.6,2008,78,218,"Duke",2000,2013,"Not Rookie",6.7,17.9,"PF",4,8
"DeMarcus Nelson","PG",23,"GSW",13,5,13.2,1.8,4.2,0.444,0,0.2,0,1.8,3.9,0.471,0.444,0.4,1.1,0.357,0.5,1.4,1.8,1,0.7,0.2,1.2,1.8,4.1,2008,76,200,"Duke",2009,2009,"Not Rookie",2.4,4.2,"PG",1,-1
"Elton Brand","PF",29,"PHI",29,23,31.7,5.6,12.6,0.447,0,0,0,5.6,12.6,0.447,0.447,2.5,3.7,0.676,2.7,6.1,8.8,1.3,0.6,1.6,2.3,2.7,13.8,2008,80,275,"Duke",2000,2016,"Not Rookie",7,16.8,"PF",4,8
"Grant Hill","SF",36,"PHO",82,68,29.8,4.8,9.1,0.523,0.3,0.9,0.316,4.5,8.2,0.547,0.54,2.2,2.7,0.808,0.8,4.2,4.9,2.3,1.1,0.7,1.5,2.2,12,2008,80,225,"Duke",1995,2013,"Not Rookie",4.3,15.2,"SF",3,13
"Shane Battier","SG",30,"HOU",60,59,33.9,2.4,5.9,0.41,1.5,4,0.384,0.9,2,0.462,0.538,0.9,1.1,0.821,0.9,3.9,4.8,2.3,0.8,0.9,0.8,1.9,7.3,2008,80,220,"Duke",2002,2014,"Not Rookie",3.5,11.8,"SG",2,6
"Shavlik Randolph","PF",25,"POR",10,0,3.7,0.8,1.3,0.615,0.1,0.1,1,0.7,1.2,0.583,0.654,0.1,0.4,0.25,1,0.8,1.8,0,0,0.1,0.6,0.4,1.8,2008,82,240,"Duke",2006,2015,"Not Rookie",0.5,2.6,"PF",4,2
"Shelden Williams","PF",25,"TOT",45,0,11.4,1.6,3.5,0.446,0,0,0,1.6,3.4,0.452,0.446,1,1.4,0.73,1.1,2.3,3.4,0.3,0.5,0.4,0.8,1.4,4.1,2008,81,250,"Duke",2007,2012,"Not Rookie",1.9,6,"PF",4,1
"Carlos Boozer","PF",28,"UTA",78,78,34.3,7.9,14.1,0.562,0,0,0,7.9,14.1,0.562,0.562,3.7,4.9,0.742,2.3,8.9,11.2,3.2,1.1,0.5,2.7,3.5,19.5,2009,81,258,"Duke",2003,2015,"Not Rookie",6.2,26.6,"PF",4,6
"Chris Duhon","PG",27,"NYK",67,59,30.9,2.5,6.7,0.373,1.3,3.9,0.349,1.2,2.9,0.404,0.472,1,1.4,0.716,0.4,2.2,2.7,5.6,0.9,0,1.6,1.2,7.4,2009,73,185,"Duke",2005,2013,"Not Rookie",4.2,10.8,"PG",1,4
"Corey Maggette","PF",30,"GSW",70,49,29.7,6.5,12.7,0.516,0.2,0.7,0.26,6.3,11.9,0.531,0.523,6.6,7.9,0.835,1.3,4,5.3,2.5,0.7,0.1,2.4,3.3,19.8,2009,78,218,"Duke",2000,2013,"Not Rookie",6.2,19.8,"PF",4,9
"Elton Brand","PF",30,"PHI",76,57,30.2,5.4,11.3,0.48,0,0,0,5.4,11.3,0.481,0.48,2.3,3.1,0.738,2.4,3.7,6.1,1.4,1.1,1.1,1.7,3.1,13.1,2009,80,275,"Duke",2000,2016,"Not Rookie",5.9,15.2,"PF",4,9
"Grant Hill","SF",37,"PHO",81,81,30,4.1,8.7,0.478,0.4,1,0.438,3.7,7.7,0.483,0.503,2.5,3.1,0.817,0.9,4.6,5.5,2.4,0.7,0.4,1.3,2,11.3,2009,80,225,"Duke",1995,2013,"Not Rookie",4.6,14.4,"SF",3,14
"Shane Battier","SG",31,"HOU",67,62,32.4,2.7,6.7,0.398,1.5,4.2,0.362,1.1,2.5,0.458,0.511,1.1,1.6,0.726,1.1,3.6,4.7,2.4,0.8,1.1,1,2.1,8,2009,80,220,"Duke",2002,2014,"Not Rookie",4,12,"SG",2,7
"Shavlik Randolph","PF",26,"TOT",6,0,8.8,1,3,0.333,0,0,0,1,3,0.333,0.333,0.3,0.3,1,1.2,1.2,2.3,0.2,0.2,0.2,0.5,1.5,2.3,2009,82,240,"Duke",2006,2015,"Not Rookie",2,2.7,"PF",4,3
"Shelden Williams","PF",26,"BOS",54,0,11.1,1.2,2.2,0.521,0,0,0,1.2,2.2,0.525,0.521,1.4,1.8,0.765,0.9,1.8,2.7,0.4,0.2,0.4,0.6,1.6,3.7,2009,81,250,"Duke",2007,2012,"Not Rookie",1,5.8,"PF",4,2
"Carlos Boozer","C",29,"CHI",59,59,31.9,7.3,14.3,0.51,0,0,0,7.3,14.3,0.51,0.51,2.9,4.1,0.701,2.2,7.4,9.6,2.5,0.8,0.3,2.5,3.2,17.5,2010,81,258,"Duke",2003,2015,"Not Rookie",7,21.2,"C",5,7
"Chris Duhon","PG",28,"ORL",51,5,15.2,1,2.5,0.38,0.3,1,0.25,0.7,1.5,0.468,0.43,0.3,0.5,0.56,0.2,0.8,1,2.3,0.3,0,1.2,0.6,2.5,2010,73,185,"Duke",2005,2013,"Not Rookie",1.5,3.4,"PG",1,5
"Corey Maggette","SF",31,"MIL",67,18,20.9,3.8,8.3,0.453,0.4,1.2,0.359,3.4,7.2,0.468,0.478,4,4.9,0.834,0.7,2.9,3.6,1.3,0.3,0.1,1.9,2.6,12,2010,78,218,"Duke",2000,2013,"Not Rookie",4.5,10.9,"SF",3,10
"Elton Brand","PF",31,"PHI",81,81,34.7,6.2,12.1,0.512,0,0,0,6.2,12.1,0.512,0.512,2.6,3.4,0.78,2.9,5.4,8.3,1.5,1.1,1.3,1.2,3,15,2010,80,275,"Duke",2000,2016,"Not Rookie",5.9,20.1,"PF",4,10
"Grant Hill","SF",38,"PHO",80,80,30.1,5,10.3,0.484,0.6,1.4,0.395,4.4,8.9,0.498,0.511,2.7,3.2,0.829,1,3.3,4.2,2.5,0.8,0.4,1.7,2.3,13.2,2010,80,225,"Duke",1995,2013,"Not Rookie",5.3,14.1,"SF",3,15
"Shane Battier","SF",32,"TOT",82,59,29,2.8,6.2,0.45,1.2,3.3,0.382,1.5,3,0.525,0.55,0.8,1.1,0.688,1.1,3.5,4.5,2.3,0.8,1,1,1.9,7.6,2010,80,220,"Duke",2002,2014,"Not Rookie",3.4,11.8,"SF",3,8
"Shelden Williams","PF",27,"TOT",59,38,15.4,1.7,3.7,0.468,0,0,0,1.7,3.7,0.468,0.468,1,1.3,0.773,1.6,3.1,4.6,0.5,0.4,0.4,0.7,2.1,4.5,2010,81,250,"Duke",2007,2012,"Not Rookie",2,7.7,"PF",4,3
"Carlos Boozer","PF",30,"CHI",66,66,29.5,6.8,12.8,0.532,0,0,0,6.8,12.7,0.533,0.532,1.4,2.1,0.693,1.7,6.8,8.5,1.9,1,0.4,1.7,2.5,15,2011,81,258,"Duke",2003,2015,"Not Rookie",6,19.1,"PF",4,8
"Chris Duhon","PG",29,"ORL",63,9,19.5,1.3,3.2,0.419,0.8,1.9,0.42,0.6,1.3,0.417,0.542,0.3,0.3,0.81,0.2,1.4,1.6,2.4,0.6,0.1,1.3,1.1,3.8,2011,73,185,"Duke",2005,2013,"Not Rookie",1.9,5.3,"PG",1,6
"Corey Maggette","SF",32,"CHO",32,28,27.5,4.3,11.7,0.373,0.8,2.1,0.364,3.6,9.6,0.375,0.405,5.6,6.5,0.856,0.7,3.3,3.9,1.2,0.7,0,1.8,2.6,15,2011,78,218,"Duke",2000,2013,"Not Rookie",7.4,11.6,"SF",3,11
"Elton Brand","C",32,"PHI",60,60,28.9,4.8,9.7,0.494,0,0,0,4.8,9.7,0.495,0.494,1.4,1.9,0.733,2.4,4.7,7.2,1.6,1,1.6,1.1,2.9,11,2011,80,275,"Duke",2000,2016,"Not Rookie",4.9,16.4,"C",5,11
"Grant Hill","SF",39,"PHO",49,46,28.1,4.1,9.2,0.446,0.3,1.1,0.264,3.8,8.1,0.47,0.461,1.7,2.2,0.761,0.6,2.9,3.5,2.2,0.8,0.6,1.3,1.8,10.2,2011,80,225,"Duke",1995,2013,"Not Rookie",5.1,10.9,"SF",3,16
"Nolan Smith","PG",23,"POR",44,4,12.3,1.5,4.1,0.372,0.3,1,0.289,1.2,3.1,0.4,0.408,0.5,0.6,0.714,0.4,0.9,1.3,1.4,0.4,0.1,1,1.3,3.8,2011,74,185,"Duke",2012,2013,"Not Rookie",2.6,3.4,"PG",1,-1
"Shane Battier","SF",33,"MIA",65,10,23.1,1.7,4.5,0.387,1,2.8,0.339,0.8,1.7,0.468,0.493,0.4,0.6,0.622,0.9,1.5,2.4,1.3,1,0.5,0.6,1.6,4.8,2011,80,220,"Duke",2002,2014,"Not Rookie",2.8,6.6,"SF",3,9
"Shelden Williams","C",28,"BRK",58,35,22,1.7,3.5,0.478,0,0,0,1.7,3.5,0.478,0.478,1.3,1.8,0.731,2.4,3.6,6,0.6,0.8,0.7,1.1,2.6,4.6,2011,81,250,"Duke",2007,2012,"Not Rookie",1.8,9.8,"C",5,4
"Carlos Boozer","PF",31,"CHI",79,79,32.2,6.9,14.4,0.477,0,0,0,6.9,14.4,0.478,0.477,2.4,3.3,0.731,2.2,7.5,9.8,2.3,0.8,0.4,2.2,3,16.2,2012,81,258,"Duke",2003,2015,"Not Rookie",7.5,19.8,"PF",4,9
"Chris Duhon","PG",30,"LAL",46,9,17.8,1,2.7,0.382,0.7,2,0.363,0.3,0.7,0.438,0.516,0.1,0.3,0.462,0.2,1.2,1.5,2.9,0.4,0,0.9,1.2,2.9,2012,73,185,"Duke",2005,2013,"Not Rookie",1.7,5.1,"PG",1,7
"Corey Maggette","SF",33,"DET",18,0,14.3,1.5,4.2,0.355,0.3,1.2,0.238,1.2,3.1,0.4,0.388,2,2.7,0.75,0.3,1.1,1.4,1.1,0.3,0.1,0.9,2.3,5.3,2012,78,218,"Duke",2000,2013,"Not Rookie",2.7,4.6,"SF",3,12
"Elton Brand","C",33,"DAL",72,18,21.2,3.1,6.6,0.473,0,0,0,3.1,6.6,0.474,0.473,0.9,1.3,0.71,1.8,4.2,6,1,0.7,1.3,0.8,2.7,7.2,2012,80,275,"Duke",2000,2016,"Not Rookie",3.5,11.9,"C",5,12
"Grant Hill","SF",40,"LAC",29,0,15.1,1.3,3.4,0.388,0.1,0.4,0.273,1.2,3,0.402,0.403,0.5,0.8,0.583,0.2,1.5,1.7,0.9,0.4,0.2,0.9,1.3,3.2,2012,80,225,"Duke",1995,2013,"Not Rookie",2.1,3.4,"SF",3,17
"Nolan Smith","PG",24,"POR",40,0,7.2,1.1,2.9,0.368,0.2,0.7,0.214,0.9,2.2,0.419,0.395,0.5,0.7,0.714,0.2,0.5,0.7,0.9,0.2,0,0.7,0.7,2.8,2012,74,185,"Duke",2012,2013,"Rookie",1.8,2.1,"PG",1,0
"Shane Battier","SF",34,"MIA",72,20,24.8,2.1,5,0.42,1.9,4.4,0.43,0.2,0.6,0.348,0.608,0.4,0.5,0.842,0.5,1.8,2.3,1,0.6,0.8,0.5,2.1,6.6,2012,80,220,"Duke",2002,2014,"Not Rookie",2.9,7.9,"SF",3,10
"Shavlik Randolph","PF",29,"BOS",16,0,12.4,1.8,3,0.583,0,0,0,1.8,3,0.583,0.583,0.7,1.7,0.407,1.8,2.6,4.4,0.3,0.5,0.4,0.6,2.4,4.2,2012,82,240,"Duke",2006,2015,"Not Rookie",1.2,8,"PF",4,6
"Carlos Boozer","PF",32,"CHI",76,76,28.2,5.9,12.9,0.456,0,0,0,5.9,12.9,0.457,0.456,1.9,2.5,0.767,1.8,6.5,8.3,1.6,0.7,0.3,2,2.8,13.7,2013,81,258,"Duke",2003,2015,"Not Rookie",7,15.6,"PF",4,10
"Elton Brand","C",34,"ATL",73,15,19.4,2.5,4.5,0.539,0,0,0,2.5,4.5,0.542,0.539,0.8,1.3,0.649,1.3,3.6,4.9,1,0.5,1.2,0.8,2.6,5.7,2013,80,275,"Duke",2000,2016,"Not Rookie",2,10.5,"C",5,13
"Shane Battier","SF",35,"MIA",73,56,20.1,1.4,3.8,0.382,1,2.9,0.348,0.4,0.9,0.492,0.515,0.2,0.3,0.652,0.5,1.4,1.9,0.9,0.7,0.5,0.3,1.7,4.1,2013,80,220,"Duke",2002,2014,"Not Rookie",2.4,5.4,"SF",3,11
"Shavlik Randolph","PF",30,"PHO",14,0,6.8,0.5,1,0.5,0,0,0,0.5,1,0.5,0.5,0.4,0.8,0.545,0.5,1.3,1.8,0.1,0.2,0.1,0.4,1.1,1.4,2013,82,240,"Duke",2006,2015,"Not Rookie",0.5,2.7,"PF",4,7
"Andre Dawkins","SG",23,"MIA",4,0,5.5,0.3,1.5,0.167,0.3,1.5,0.167,0,0,0,0.25,0,0,0,0,0.5,0.5,0.3,0,0,0.3,0.8,0.8,2014,77,215,"Duke",2015,2015,"Not Rookie",1.2,0.1,"SG",2,-1
"Carlos Boozer","PF",33,"LAL",71,26,23.8,5.2,10.5,0.499,0,0,0,5.2,10.5,0.499,0.499,1.3,2.1,0.627,1.6,5.2,6.8,1.3,0.6,0.2,1.3,2.6,11.8,2014,81,258,"Duke",2003,2015,"Not Rookie",5.3,14.1,"PF",4,11
"Elton Brand","C",35,"ATL",36,4,13.5,1.2,2.6,0.442,0,0,0,1.2,2.6,0.447,0.442,0.3,0.6,0.522,0.8,2,2.8,0.6,0.5,0.7,0.5,1.5,2.7,2014,80,275,"Duke",2000,2016,"Not Rookie",1.4,5.4,"C",5,14
"Shavlik Randolph","PF",31,"TOT",21,0,6,0.4,1.7,0.257,0,0.2,0,0.4,1.4,0.3,0.257,0.3,0.6,0.5,0.8,1,1.8,0.2,0.2,0.1,0.1,0.8,1.1,2014,82,240,"Duke",2006,2015,"Not Rookie",1.3,2,"PF",4,8
"Elton Brand","C",36,"PHI",17,1,13.2,1.8,4.2,0.431,0,0.1,0,1.8,4.2,0.437,0.431,0.5,0.5,0.889,0.5,3.2,3.7,1.1,0.5,0.5,0.6,1.9,4.1,2015,80,275,"Duke",2000,2016,"Not Rookie",2.4,6.9,"C",5,15
"Eric Montross","C",25,"TOT",78,77,23.4,2,4.5,0.456,0,0,0,2,4.5,0.456,0.456,0.3,0.8,0.339,2.3,4.3,6.6,0.8,0.3,0.9,1,3.4,4.3,1996,84,270,"UNC",1995,2002,"Not Rookie",2.5,9.4,"C",5,1
"George Lynch","SF",26,"MEM",41,27,25.8,3.3,7.1,0.471,0.2,0.8,0.258,3.1,6.3,0.496,0.485,1.5,2.4,0.619,2.4,4,6.4,1.9,1.5,0.4,1.6,2.4,8.3,1996,80,218,"UNC",1994,2005,"Not Rookie",3.8,13.1,"SF",3,2
"Hubert Davis","SG",26,"TOR",36,0,17.3,2.1,5.1,0.402,0.4,1.9,0.229,1.6,3.2,0.509,0.446,0.5,0.6,0.739,0.3,0.8,1.1,0.9,0.3,0.1,0.6,1.1,5,1996,77,183,"UNC",1993,2004,"Not Rookie",3,3.8,"SG",2,3
"Jeff McInnis","PG",22,"DEN",13,0,9,1.8,3.8,0.469,0.9,2,0.462,0.8,1.8,0.478,0.592,0.5,0.8,0.7,0.2,0.3,0.5,1.4,0.2,0.1,1,1.2,5,1996,76,190,"UNC",1997,2008,"Not Rookie",2,4.2,"PG",1,-1
"Jerry Stackhouse","SG",22,"PHI",81,81,39.1,6.6,16.1,0.407,1.3,4.2,0.298,5.3,11.9,0.446,0.446,6.3,8.2,0.766,1.9,2.2,4.2,3.1,1.1,0.8,3.9,2.7,20.7,1996,78,218,"UNC",1996,2013,"Rookie",9.5,16.5,"SG",2,0
"Joe Wolf","C",32,"MIL",56,7,9.4,0.7,1.6,0.449,0,0.1,0.143,0.7,1.5,0.476,0.455,0.3,0.3,0.737,0.6,1.4,2,0.4,0.3,0.2,0.3,1.9,1.7,1996,83,230,"UNC",1988,1999,"Not Rookie",0.9,3.4,"C",5,8
"Kenny Smith","PG",31,"TOT",48,3,15.9,2.1,5,0.423,1.2,2.8,0.437,0.9,2.2,0.404,0.546,0.8,0.9,0.867,0.1,0.8,0.9,2.4,0.4,0,1.5,0.6,6.3,1996,75,170,"UNC",1988,1997,"Not Rookie",2.9,5.6,"PG",1,8
"Kevin Salvadori","C",26,"SAC",23,0,6.7,0.5,1.4,0.364,0,0,0,0.5,1.4,0.364,0.364,0.6,0.8,0.722,0.3,0.8,1.1,0.4,0.1,0.6,0.5,0.7,1.6,1996,84,231,"UNC",1997,1998,"Not Rookie",0.9,2.4,"C",5,-1
"Michael Jordan","SG",33,"CHI",82,82,37.9,11.2,23.1,0.486,1.4,3.6,0.374,9.9,19.5,0.507,0.516,5.9,7,0.833,1.4,4.5,5.9,4.3,1.7,0.5,2,1.9,29.6,1996,78,195,"UNC",1985,2003,"Not Rookie",11.9,28.1,"SG",2,11
"Pete Chilcutt","PF",28,"MEM",54,1,12.3,1.3,3.1,0.436,0.5,1.3,0.362,0.9,1.8,0.49,0.512,0.2,0.4,0.591,1.2,1.6,2.9,0.9,0.5,0.3,0.5,1,3.4,1996,82,230,"UNC",1992,2000,"Not Rookie",1.8,5.7,"PF",4,4
"Rasheed Wallace","PF",22,"POR",62,56,30.5,6.1,11,0.558,0.1,0.5,0.273,6,10.5,0.573,0.565,2.7,4.3,0.638,2,4.8,6.8,1.2,0.8,1,1.8,3.2,15.1,1996,82,225,"UNC",1996,2013,"Rookie",4.9,18.2,"PF",4,0
"Rick Fox","SF",27,"BOS",76,75,34.9,5.7,12.5,0.456,1.3,3.7,0.363,4.4,8.8,0.494,0.509,2.7,3.5,0.787,1.5,3.7,5.2,3.8,2.2,0.5,2.3,3.7,15.4,1996,79,230,"UNC",1992,2004,"Not Rookie",6.8,18,"SF",3,4
"Sam Perkins","C",35,"SEA",81,4,24.4,3.6,8.2,0.439,1.5,3.8,0.395,2.1,4.3,0.477,0.531,2.3,2.8,0.817,0.9,2.8,3.7,1.3,0.9,0.6,1,1.7,11,1996,81,235,"UNC",1985,2001,"Not Rookie",4.6,11.9,"C",5,11
"Scott Williams","C",28,"PHI",62,52,21.2,2.6,5.1,0.509,0,0,0,2.6,5.1,0.513,0.509,0.6,0.9,0.691,2.5,3.9,6.4,0.7,0.7,0.7,0.8,3.3,5.8,1996,82,230,"UNC",1991,2005,"Not Rookie",2.5,11,"C",5,5
"Eric Montross","C",26,"TOT",48,30,14.4,1.3,3,0.424,0,0,0,1.3,3,0.424,0.424,0.3,0.8,0.4,1.4,2.7,4.1,0.2,0.3,0.6,0.6,2.6,2.9,1997,84,270,"UNC",1995,2002,"Not Rookie",1.7,5.8,"C",5,2
"George Lynch","SF",27,"MEM",82,0,18.2,3,6.3,0.481,0.1,0.4,0.3,2.9,5.9,0.492,0.489,1.4,1.9,0.703,1.8,2.6,4.4,1.5,0.8,0.5,1.3,2,7.5,1997,80,218,"UNC",1994,2005,"Not Rookie",3.3,10.1,"SF",3,3
"Hubert Davis","SG",27,"DAL",81,30,29.4,4.3,9.5,0.456,1.2,2.8,0.439,3.1,6.6,0.464,0.522,1.2,1.4,0.836,0.4,1.7,2.1,1.9,0.5,0.1,1.1,1.4,11.1,1997,77,183,"UNC",1993,2004,"Not Rookie",5.2,9.4,"SG",2,4
"J.R. Reid","PF",29,"NOP",79,1,14,1.8,4,0.459,0,0.1,0.375,1.8,3.9,0.461,0.464,1.1,1.5,0.73,0.9,1.7,2.7,0.6,0.4,0.2,0.8,2.2,4.9,1997,81,247,"UNC",1990,2001,"Not Rookie",2.2,5.8,"PF",4,7
"Jerry Stackhouse","SG-SF",23,"TOT",79,37,32.2,5.4,12.3,0.435,0.6,2.5,0.241,4.8,9.9,0.483,0.459,4.5,5.7,0.787,1.3,2,3.4,3.1,1.1,0.7,2.8,2.2,15.8,1997,78,218,"UNC",1996,2013,"Not Rookie",6.9,14.4,"SG",2,1
"Joe Wolf","PF",33,"DEN",57,8,10.9,0.7,2.1,0.331,0,0.2,0.2,0.7,1.9,0.342,0.339,0.1,0.2,0.5,0.6,1.6,2.2,0.5,0.4,0.1,0.4,1.6,1.5,1997,83,230,"UNC",1988,1999,"Not Rookie",1.4,2.9,"PF",4,9
"Kevin Salvadori","C",27,"SAC",16,0,5.4,0.1,0.8,0.077,0,0,0,0.1,0.8,0.077,0.077,0.2,0.4,0.5,0.3,0.9,1.3,0.2,0,0.7,0.3,0.8,0.3,1997,84,231,"UNC",1997,1998,"Rookie",0.7,1.5,"C",5,0
"Michael Jordan","SG",34,"CHI",82,82,38.8,10.7,23.1,0.465,0.4,1.5,0.238,10.4,21.5,0.482,0.473,6.9,8.8,0.784,1.6,4.2,5.8,3.5,1.7,0.5,2.3,1.8,28.7,1997,78,195,"UNC",1985,2003,"Not Rookie",12.4,25.5,"SG",2,12
"Pete Chilcutt","PF",29,"MEM",82,0,17.3,1.9,4.4,0.435,0.7,1.6,0.415,1.2,2.8,0.445,0.51,0.5,0.7,0.661,0.9,2.8,3.7,1.3,0.6,0.5,0.8,1.9,4.9,1997,82,230,"UNC",1992,2000,"Not Rookie",2.5,7.7,"PF",4,5
"Rasheed Wallace","PF",23,"POR",77,77,37.6,6.1,11.4,0.533,0.1,0.5,0.205,5.9,10.9,0.548,0.537,2.4,3.6,0.662,1.7,4.5,6.2,2.5,1,1.1,2.2,3.5,14.6,1997,82,225,"UNC",1996,2013,"Not Rookie",5.3,17.9,"PF",4,1
"Rick Fox","SF",28,"LAL",82,82,33,4.4,9.4,0.471,1,3.2,0.325,3.4,6.2,0.547,0.527,2.1,2.8,0.743,1,3.4,4.4,3.4,1.2,0.6,2.5,3.8,12,1997,79,230,"UNC",1992,2004,"Not Rookie",5,14.1,"SF",3,5
"Sam Perkins","PF",36,"SEA",81,0,20.7,2.4,5.8,0.416,1.1,2.7,0.392,1.3,3.1,0.438,0.508,1.2,1.6,0.789,0.7,2.5,3.1,1.4,0.8,0.4,0.8,2,7.2,1997,81,235,"UNC",1985,2001,"Not Rookie",3.4,8.7,"PF",4,12
"Scott Williams","C",29,"PHI",58,7,13.8,1.6,3.7,0.437,0,0.1,0,1.6,3.6,0.447,0.437,0.9,1.1,0.81,1.5,2.1,3.6,0.5,0.3,0.4,0.5,2.3,4.1,1997,82,230,"UNC",1991,2005,"Not Rookie",2.1,6.3,"C",5,6
"Antawn Jamison","SF",22,"GSW",47,24,22.5,3.8,8.4,0.452,0.1,0.2,0.3,3.7,8.2,0.456,0.456,1.9,3.3,0.588,2.8,3.6,6.4,0.7,0.8,0.3,1.4,2.2,9.6,1998,80,223,"UNC",1999,2014,"Not Rookie",4.6,11.8,"SF",3,-1
"Eric Montross","C",27,"DET",46,2,12.5,0.9,1.7,0.525,0,0,0,0.9,1.7,0.532,0.525,0.2,0.7,0.344,1,2,3,0.3,0.3,0.6,0.3,2.3,2.1,1998,84,270,"UNC",1995,2002,"Not Rookie",0.8,5.2,"C",5,3
"George Lynch","SF",28,"PHI",43,43,30.6,3.4,8.1,0.421,0.2,0.5,0.391,3.2,7.6,0.423,0.434,1.2,2,0.631,2.6,3.9,6.5,1.8,2,0.5,1.8,3.3,8.3,1998,80,218,"UNC",1994,2005,"Not Rookie",4.7,12.6,"SF",3,4
